Client_ID,Age,Gender,Education,Income,Loan_Amount,Loan_Purpose,Credit_Score,Interest_Rate,Loan_Term_Years,Employment_Type,Default_Status
20040,29,Female,Post Graduate,88823,405003,Car,766,14.29,7,Self-Employed,0
20041,59,Female,Post Graduate,66782,855660,Home,761,17.58,3,Salaried,0
20042,38,Female,Graduate,42090,1166448,Personal,357,27.15,7,Self-Employed,0
20043,24,Female,Graduate,47161,221686,Home,436,14.82,1,Business,0
20044,45,Female,Under Graduate,167966,64013,Personal,610,22.39,7,Self-Employed,0
20045,34,Female,Post Graduate,126265,1033129,Personal,600,21.67,15,Self-Employed,1
20046,29,Female,Under Graduate,66300,530198,Personal,455,25.38,10,Self-Employed,1
20047,46,Male,Graduate,110666,735356,Business,455,14.69,10,Self-Employed,0
20048,22,Female,Post Graduate,64665,473353,Home,473,9.12,10,Salaried,1
20049,40,Female,Post Graduate,113254,1061189,Home,581,27.41,15,Business,0
20050,48,Female,Post Graduate,74645,1042849,Education,617,15.25,15,Self-Employed,0
20051,27,Male,Under Graduate,134946,604368,Car,495,11.87,3,Self-Employed,0
20052,64,Male,Under Graduate,62184,758106,Car,494,26.28,3,Salaried,0
20053,28,Female,Graduate,70817,649541,Car,717,11.81,15,Business,1
20054,55,Male,Graduate,54633,818981,Personal,631,18.58,3,Salaried,1
20055,34,Male,Graduate,68720,340410,Home,576,23.11,5,Salaried,0
20056,37,Male,Post Graduate,86301,1000192,Business,701,22.62,1,Salaried,0
20057,56,Female,Graduate,175712,1142698,Business,335,8.59,10,Salaried,0
20058,60,Female,Under Graduate,71857,1189440,Home,767,12.05,1,Salaried,0
20059,24,Female,Graduate,25765,458379,Personal,447,25.77,5,Business,1
20060,22,Female,Post Graduate,100872,795419,Home,779,19.06,3,Self-Employed,0
20061,26,Female,Under Graduate,50761,954549,Personal,522,21.74,1,Salaried,0
20062,62,Female,Post Graduate,57742,1136612,Personal,767,16.05,3,Business,0
20063,24,Female,Post Graduate,152455,757333,Personal,426,22.9,7,Salaried,0
20064,49,Male,Graduate,35458,885237,Personal,558,13.78,1,Salaried,1
20065,38,Female,Graduate,153507,991948,Personal,819,12.64,10,Salaried,0
20066,46,Female,Post Graduate,179808,272835,Home,555,27.94,7,Salaried,1
20067,64,Female,Post Graduate,49992,441609,Personal,706,11.15,1,Salaried,1
20068,54,Female,Under Graduate,77566,420757,Personal,812,27.63,5,Salaried,0
20069,30,Female,Under Graduate,134358,423438,Personal,301,26.53,10,Self-Employed,0
20070,56,Female,Under Graduate,174514,721393,Home,592,22.29,15,Salaried,0
20071,34,Female,Graduate,43700,158583,Car,393,19.64,7,Salaried,0
20072,51,Female,Under Graduate,123932,528728,Car,350,8.09,7,Self-Employed,0
20073,35,Male,Graduate,47763,570468,Business,471,20.71,10,Business,1
20074,28,Male,Graduate,155937,571503,Business,451,23.45,5,Business,1
20075,34,Female,Graduate,69602,962967,Home,459,22.66,10,Business,1
20076,43,Female,Graduate,141727,793945,Education,483,11.44,7,Salaried,0
20077,60,Male,Graduate,39734,92582,Personal,491,18.89,7,Salaried,0
20078,41,Female,Post Graduate,22829,132005,Personal,457,19,10,Self-Employed,0
20079,36,Female,Under Graduate,21915,453150,Car,465,21.06,10,Self-Employed,1
20080,38,Male,Graduate,59980,556988,Personal,418,24.62,3,Business,0
20081,44,Female,Under Graduate,29440,621935,Home,708,21.96,15,Salaried,0
20082,46,Female,Graduate,155891,59132,Personal,344,10.83,1,Business,0
20083,45,Female,Graduate,93415,198492,Personal,489,8.38,10,Salaried,1
20084,61,Male,Post Graduate,110352,103972,Personal,434,10.73,3,Salaried,0
20085,49,Male,Post Graduate,52225,1158931,Car,454,8.81,10,Self-Employed,0
20086,35,Female,Graduate,161406,547269,Personal,529,16.74,1,Self-Employed,0
20087,21,Male,Graduate,126860,808377,Car,322,13.68,3,Salaried,0
20088,45,Male,Post Graduate,115367,307855,Business,459,8.15,1,Salaried,1
20089,27,Male,Graduate,89656,771620,Personal,813,9.61,10,Salaried,0
20090,29,Female,Under Graduate,124780,269369,Home,502,15.95,3,Business,0
20091,44,Male,Post Graduate,22961,113348,Home,488,26.8,15,Salaried,0
20092,21,Male,Graduate,98385,1063511,Car,410,27.9,5,Business,0
20093,64,Male,Under Graduate,52545,366126,Home,681,9,10,Salaried,1
20094,28,Female,Graduate,71569,609828,Car,565,24.61,10,Salaried,1
20095,44,Male,Under Graduate,152688,556000,Education,772,17.61,15,Salaried,1
20096,31,Male,Under Graduate,143915,546132,Business,380,20.42,5,Self-Employed,0
20097,37,Female,Under Graduate,94447,704476,Home,456,18.12,7,Business,0
20098,28,Male,Post Graduate,45549,496068,Home,509,26.49,5,Salaried,1
20099,55,Male,Post Graduate,92361,319355,Home,537,17.57,3,Salaried,0
20100,55,Male,Graduate,38230,270632,Personal,615,11.36,7,Salaried,1
20101,53,Female,Post Graduate,70618,868580,Business,316,23.6,5,Salaried,0
20102,25,Female,Post Graduate,134676,468152,Personal,483,18.28,7,Self-Employed,0
20103,62,Male,Graduate,28882,766086,Personal,794,10.34,3,Self-Employed,0
20104,59,Male,Under Graduate,101844,820689,Home,767,17.23,10,Salaried,0
20105,61,Male,Graduate,137200,116141,Car,452,21.75,15,Business,1
20106,48,Male,Under Graduate,135933,984253,Car,570,13.92,5,Salaried,0
20107,27,Male,Under Graduate,42500,1181724,Car,378,26.24,5,Salaried,0
20108,29,Male,Post Graduate,101410,607954,Education,740,25,10,Business,0
20109,28,Female,Post Graduate,160405,603146,Car,483,19.36,3,Salaried,0
20110,32,Male,Graduate,73383,486947,Home,848,9.09,5,Self-Employed,1
20111,54,Male,Under Graduate,86513,601928,Home,364,19.67,3,Self-Employed,1
20112,53,Male,Graduate,177882,298510,Car,588,16.31,5,Salaried,0
20113,43,Female,Post Graduate,176189,989268,Car,430,22.48,7,Salaried,0
20114,44,Male,Post Graduate,92258,310852,Personal,604,13.34,15,Self-Employed,0
20115,57,Female,Under Graduate,33217,368353,Personal,448,20.12,10,Self-Employed,0
20116,55,Male,Under Graduate,106427,834795,Personal,409,19.09,7,Self-Employed,0
20117,64,Male,Post Graduate,65272,585691,Home,404,18.54,10,Salaried,0
20118,60,Male,Graduate,103053,525428,Home,326,10.32,7,Salaried,0
20119,42,Male,Graduate,81724,338209,Home,687,17.8,7,Salaried,0
20120,47,Male,Graduate,166290,1086918,Business,414,19.01,1,Salaried,0
20121,55,Male,Under Graduate,57633,1015878,Home,526,26.55,1,Business,1
20122,21,Female,Under Graduate,61528,782257,Personal,428,17.22,10,Business,0
20123,55,Male,Under Graduate,29513,1087177,Personal,738,20.8,3,Salaried,1
20124,57,Male,Post Graduate,92901,1107858,Personal,835,19.38,5,Salaried,0
20125,34,Male,Post Graduate,80922,1019271,Personal,409,11.9,5,Salaried,0
20126,23,Female,Graduate,124936,189414,Personal,833,11.69,1,Salaried,0
20127,21,Male,Graduate,120071,245724,Personal,450,22.79,15,Salaried,1
20128,25,Female,Graduate,120378,1068586,Education,512,18.46,3,Salaried,0
20129,46,Male,Under Graduate,70293,457132,Education,819,25.92,15,Self-Employed,0
20130,34,Male,Graduate,119381,905407,Home,379,26.16,10,Self-Employed,0
20131,59,Female,Under Graduate,75272,77140,Home,782,13.94,15,Salaried,0
20132,47,Female,Post Graduate,28670,892817,Home,387,10.03,1,Salaried,0
20133,29,Male,Post Graduate,47809,1114789,Personal,389,14.88,5,Salaried,0
20134,35,Female,Graduate,38069,350396,Business,580,9.34,15,Business,0
20135,35,Female,Graduate,115447,630977,Personal,808,23.63,7,Business,1
20136,46,Male,Graduate,138179,938143,Education,401,10.92,5,Self-Employed,0
20137,62,Male,Under Graduate,119675,1095067,Car,517,25.33,7,Salaried,0
20138,33,Male,Graduate,156531,1013413,Personal,555,16.31,3,Salaried,0
20139,52,Female,Under Graduate,179548,141276,Personal,457,13.57,10,Self-Employed,0
20140,59,Male,Under Graduate,82289,841385,Home,493,18.03,3,Salaried,0
20141,52,Male,Graduate,47177,513346,Personal,679,20.11,3,Salaried,0
20142,24,Female,Under Graduate,23423,320984,Home,534,22.03,7,Salaried,0
20143,50,Female,Post Graduate,81001,1059839,Personal,352,14.76,1,Business,1
20144,57,Male,Under Graduate,171432,685679,Car,782,27.66,1,Salaried,0
20145,43,Female,Graduate,64940,382626,Home,477,16.45,1,Self-Employed,0
20146,59,Female,Graduate,156433,780147,Personal,355,24.69,10,Business,1
20147,35,Female,Graduate,21401,1034027,Personal,723,8.7,1,Self-Employed,0
20148,63,Male,Graduate,86948,480607,Education,476,23.56,1,Salaried,0
20149,49,Male,Under Graduate,42814,59719,Car,587,19.03,7,Salaried,0
20150,56,Male,Under Graduate,23230,800151,Car,672,20.79,5,Salaried,0
20151,33,Female,Under Graduate,125825,881711,Home,728,15.46,5,Self-Employed,0
20152,52,Male,Graduate,124153,182973,Education,512,18.9,5,Self-Employed,1
20153,27,Male,Graduate,128998,936586,Home,763,26.64,10,Salaried,0
20154,42,Female,Post Graduate,58824,927551,Personal,626,15.72,1,Salaried,0
20155,48,Female,Graduate,139410,468337,Home,683,10.12,15,Self-Employed,0
20156,22,Male,Graduate,70416,140636,Home,471,22.41,3,Self-Employed,0
20157,62,Female,Post Graduate,120563,62202,Personal,468,18.1,5,Salaried,0
20158,26,Male,Graduate,91812,1042969,Car,640,16.5,15,Salaried,1
20159,48,Male,Post Graduate,78876,903048,Education,494,23.56,7,Salaried,1
20160,48,Male,Graduate,75572,838453,Home,449,19.24,3,Self-Employed,0
20161,64,Female,Post Graduate,107304,1087754,Education,700,20.63,15,Salaried,0
20162,64,Female,Under Graduate,108668,288906,Home,541,26.52,10,Salaried,0
20163,40,Male,Graduate,134266,944258,Personal,458,9.17,5,Salaried,1
20164,50,Male,Under Graduate,95111,443986,Personal,350,13.25,7,Salaried,0
20165,31,Male,Post Graduate,93367,584221,Business,319,25.96,7,Self-Employed,0
20166,48,Male,Under Graduate,88348,630385,Personal,475,23.85,7,Salaried,0
20167,45,Female,Graduate,43357,1144710,Personal,371,11.77,3,Business,0
20168,59,Male,Post Graduate,133234,141470,Personal,629,11.38,7,Business,0
20169,53,Male,Graduate,105321,257933,Business,361,24.5,3,Salaried,0
20170,21,Female,Under Graduate,57783,978492,Car,478,19.06,5,Self-Employed,0
20171,47,Male,Post Graduate,145985,346508,Personal,426,25.21,5,Salaried,0
20172,33,Male,Post Graduate,71703,349266,Education,397,26.35,3,Self-Employed,0
20173,61,Male,Under Graduate,136839,962072,Car,426,9.39,10,Salaried,0
20174,23,Male,Graduate,108557,1141183,Business,704,27.4,5,Self-Employed,0
20175,59,Male,Graduate,85923,255666,Home,808,22.33,3,Salaried,0
20176,26,Female,Post Graduate,173320,279351,Home,442,24.69,1,Salaried,0
20177,28,Female,Post Graduate,84748,394967,Personal,847,20.61,10,Salaried,0
20178,47,Female,Graduate,98728,1125609,Personal,308,14.1,10,Self-Employed,1
20179,29,Female,Post Graduate,137849,1016798,Car,614,19.99,1,Salaried,0
20180,57,Male,Under Graduate,22380,163036,Home,536,18.32,5,Business,1
20181,53,Female,Under Graduate,143256,561627,Car,637,26.64,7,Salaried,0
20182,62,Female,Graduate,114389,1199666,Education,444,19.1,15,Salaried,0
20183,64,Female,Graduate,20743,52759,Business,815,8.56,1,Self-Employed,0
20184,44,Female,Under Graduate,60124,372837,Home,824,21.72,5,Salaried,0
20185,35,Female,Under Graduate,164200,782977,Personal,598,9.01,3,Salaried,0
20186,52,Female,Under Graduate,138174,1174025,Personal,775,26.88,5,Salaried,0
20187,52,Female,Graduate,65653,537442,Personal,563,17.73,5,Self-Employed,0
20188,44,Female,Under Graduate,66072,413279,Business,703,27.36,7,Self-Employed,0
20189,61,Male,Under Graduate,142214,551416,Car,422,8.52,7,Business,0
20190,32,Female,Graduate,61302,320793,Home,509,18.66,15,Salaried,0
20191,59,Male,Post Graduate,97011,899938,Personal,498,12.52,3,Salaried,0
20192,22,Female,Post Graduate,126452,137232,Car,616,20.81,10,Self-Employed,1
20193,23,Female,Post Graduate,51898,794725,Car,780,17.96,10,Salaried,1
20194,57,Female,Under Graduate,123620,915936,Personal,478,19.32,7,Salaried,0
20195,37,Male,Under Graduate,37889,614258,Car,741,15.19,10,Business,0
20196,22,Male,Under Graduate,162024,1095158,Personal,758,9.03,5,Self-Employed,0
20197,22,Female,Under Graduate,65985,379288,Personal,416,10.12,1,Business,0
20198,48,Male,Post Graduate,94106,286164,Personal,713,25.17,3,Self-Employed,0
20199,43,Female,Graduate,80139,624536,Education,792,22.06,3,Salaried,0
20200,57,Male,Under Graduate,28897,361922,Personal,639,23.39,10,Salaried,0
20201,52,Male,Post Graduate,38798,1083482,Car,821,10.45,15,Salaried,0
20202,53,Male,Graduate,25656,1021373,Personal,701,8.98,5,Salaried,0
20203,21,Female,Post Graduate,176418,996903,Home,679,8.35,7,Self-Employed,0
20204,39,Male,Graduate,32193,659619,Personal,580,18.44,5,Self-Employed,1
20205,22,Male,Post Graduate,156219,1035184,Business,779,18.02,5,Salaried,1
20206,64,Female,Graduate,146474,444115,Home,461,10.21,7,Business,0
20207,46,Male,Graduate,122748,555423,Business,343,14.93,10,Business,0
20208,52,Female,Under Graduate,164501,771593,Home,545,18.6,5,Salaried,1
20209,26,Female,Under Graduate,103366,432912,Personal,778,21.52,7,Salaried,0
20210,52,Male,Under Graduate,179836,571794,Home,775,24.2,3,Salaried,0
20211,24,Female,Post Graduate,83628,668591,Personal,495,20.83,5,Salaried,0
20212,31,Male,Under Graduate,153474,618865,Business,470,8.6,3,Self-Employed,1
20213,37,Male,Under Graduate,25642,1020096,Personal,627,19.72,10,Business,1
20214,58,Female,Post Graduate,103746,1003688,Personal,413,9.76,3,Salaried,1
20215,44,Male,Under Graduate,27918,519994,Car,797,19.3,10,Salaried,0
20216,25,Male,Graduate,138535,1014486,Personal,454,15.52,7,Salaried,1
20217,54,Female,Under Graduate,134438,1104953,Personal,463,13.73,7,Self-Employed,0
20218,26,Female,Graduate,168548,506354,Home,768,17.63,10,Self-Employed,0
20219,42,Male,Post Graduate,41061,571372,Personal,514,15.63,5,Salaried,1
20220,31,Female,Graduate,136408,301879,Personal,368,24.61,1,Self-Employed,0
20221,36,Female,Post Graduate,40215,176423,Car,403,12.53,15,Salaried,1
20222,53,Female,Post Graduate,140148,313625,Personal,620,10.73,5,Salaried,1
20223,29,Female,Under Graduate,133613,368283,Car,598,24.74,1,Salaried,0
20224,26,Male,Under Graduate,76098,483489,Home,373,12.87,5,Salaried,1
20225,36,Male,Under Graduate,88764,308951,Education,749,8.64,5,Business,0
20226,49,Female,Graduate,113271,789313,Education,576,15.74,15,Business,0
20227,23,Male,Under Graduate,160515,149749,Personal,744,24.38,5,Salaried,0
20228,40,Female,Post Graduate,143816,632006,Business,440,16.64,1,Business,0
20229,56,Female,Under Graduate,59276,55768,Education,407,17.4,3,Salaried,0
20230,39,Male,Graduate,51711,992703,Home,801,8.94,3,Self-Employed,0
20231,46,Male,Post Graduate,59764,908410,Home,327,22.22,10,Salaried,0
20232,23,Male,Under Graduate,24844,574893,Education,457,14.87,1,Self-Employed,0
20233,39,Male,Under Graduate,127181,1149841,Home,381,22.57,5,Salaried,0
20234,40,Female,Post Graduate,122539,773472,Home,405,16.22,7,Salaried,1
20235,52,Female,Under Graduate,44630,235734,Car,510,18.54,7,Salaried,0
20236,27,Male,Graduate,105132,623717,Personal,320,19.79,7,Salaried,1
20237,61,Female,Under Graduate,171625,854873,Home,645,11.94,7,Salaried,1
20238,53,Male,Post Graduate,121510,804828,Personal,473,13.88,3,Self-Employed,0
20239,60,Male,Graduate,166236,710666,Personal,516,19.71,7,Self-Employed,0
20240,59,Male,Graduate,37025,1180250,Education,836,24.46,15,Salaried,0
20241,38,Female,Graduate,24839,437791,Home,788,27.23,1,Salaried,0
20242,60,Female,Under Graduate,58937,128672,Home,612,18.48,5,Self-Employed,0
20243,21,Male,Graduate,133074,491654,Personal,461,9.48,3,Salaried,0
20244,31,Male,Post Graduate,66660,672852,Personal,693,27.12,3,Salaried,0
20245,48,Male,Graduate,135911,1130388,Home,588,16.42,3,Business,0
20246,45,Male,Post Graduate,53260,1127285,Education,493,10.05,1,Self-Employed,0
20247,43,Female,Under Graduate,116200,688942,Education,346,27.44,7,Salaried,1
20248,51,Female,Post Graduate,43206,513937,Business,329,13.61,7,Salaried,1
20249,50,Male,Post Graduate,75763,333090,Education,786,21.14,5,Salaried,0
20250,62,Male,Post Graduate,103059,72591,Business,510,10.88,5,Salaried,0
20251,55,Female,Graduate,172946,1113589,Home,768,22.39,15,Business,0
20252,27,Male,Under Graduate,26794,450204,Personal,614,27.53,7,Self-Employed,0
20253,36,Female,Graduate,168711,371298,Business,791,27.7,10,Salaried,0
20254,46,Female,Graduate,137973,599167,Business,586,10.52,5,Self-Employed,0
20255,22,Male,Under Graduate,61961,460696,Home,576,23.37,10,Self-Employed,0
20256,21,Female,Graduate,105801,61810,Personal,572,21.29,1,Business,0
20257,32,Female,Under Graduate,31736,636674,Personal,734,24.03,7,Salaried,0
20258,25,Female,Graduate,79395,83934,Car,707,14.66,10,Business,0
20259,57,Female,Under Graduate,100338,480293,Car,528,16.03,3,Business,0
20260,52,Male,Graduate,134946,1084544,Personal,532,14.84,15,Salaried,0
20261,29,Female,Graduate,99757,874733,Business,571,23.33,5,Business,0
20262,61,Female,Graduate,89385,877284,Home,348,24.18,5,Salaried,1
20263,55,Female,Under Graduate,85285,842280,Car,725,12.99,3,Salaried,0
20264,39,Male,Under Graduate,173886,1139880,Home,695,19.46,3,Salaried,1
20265,36,Male,Post Graduate,140862,804407,Personal,589,10.52,3,Business,0
20266,23,Male,Under Graduate,155688,829861,Business,744,8.26,5,Salaried,1
20267,40,Female,Post Graduate,110100,1186296,Personal,529,20.2,5,Salaried,0
20268,44,Male,Under Graduate,85659,764626,Car,384,24.8,5,Salaried,1
20269,53,Male,Under Graduate,87713,739276,Home,800,26.13,10,Salaried,0
20270,44,Male,Graduate,168959,406206,Personal,540,20.41,1,Salaried,0
20271,31,Female,Under Graduate,66811,591447,Home,529,24.17,3,Salaried,0
20272,28,Male,Post Graduate,166181,475486,Personal,545,16.08,10,Salaried,0
20273,56,Male,Graduate,83387,220047,Business,400,25.51,1,Salaried,0
20274,58,Male,Graduate,153196,672257,Education,344,23.49,3,Salaried,0
20275,60,Female,Under Graduate,121558,58798,Business,373,14.17,5,Salaried,1
20276,40,Female,Under Graduate,87949,78279,Education,556,19.94,10,Self-Employed,0
20277,55,Male,Under Graduate,171843,804093,Education,402,9.03,7,Salaried,0
20278,45,Male,Under Graduate,26089,110716,Home,391,10.93,7,Salaried,0
20279,55,Male,Under Graduate,25833,616252,Business,536,26.93,15,Self-Employed,1
20280,45,Female,Graduate,166820,178245,Personal,383,8.2,5,Self-Employed,0
20281,49,Female,Graduate,69308,224394,Personal,831,12.06,15,Self-Employed,1
20282,38,Male,Graduate,62083,273384,Personal,322,10.78,3,Business,0
20283,38,Female,Graduate,172459,1095743,Personal,460,21.98,5,Salaried,0
20284,22,Male,Graduate,135605,764891,Personal,307,10.11,10,Salaried,1
20285,55,Female,Post Graduate,99674,644135,Home,618,8.4,3,Self-Employed,0
20286,36,Male,Under Graduate,21702,770164,Car,431,26.61,3,Salaried,0
20287,61,Female,Under Graduate,41773,423716,Car,846,25.46,5,Salaried,0
20288,56,Male,Post Graduate,163497,731494,Car,392,15.17,15,Salaried,1
20289,53,Female,Under Graduate,58575,904336,Business,611,10.01,3,Self-Employed,0
20290,24,Male,Post Graduate,40098,265084,Business,593,21.56,15,Self-Employed,0
20291,53,Male,Under Graduate,92519,336281,Car,728,25.66,7,Salaried,1
20292,34,Male,Post Graduate,172566,688882,Personal,741,27.49,5,Self-Employed,0
20293,41,Male,Graduate,148699,980405,Car,391,10.6,1,Salaried,0
20294,40,Female,Under Graduate,22397,516863,Home,674,20,5,Self-Employed,0
20295,28,Male,Graduate,46770,588496,Personal,762,16.61,5,Self-Employed,0
20296,27,Female,Post Graduate,58222,355138,Personal,618,11.14,10,Salaried,1
20297,23,Female,Graduate,113737,504215,Personal,786,24.16,7,Salaried,0
20298,37,Male,Post Graduate,69033,535142,Education,527,23.64,15,Self-Employed,0
20299,53,Male,Under Graduate,85879,1009135,Personal,696,27.29,3,Salaried,1
20300,32,Male,Graduate,98475,265126,Home,301,9.71,15,Business,0
20301,42,Male,Under Graduate,35950,510234,Education,710,12.78,5,Self-Employed,0
20302,42,Female,Graduate,116081,72710,Business,404,24.55,5,Self-Employed,0
20303,50,Female,Graduate,68787,964759,Home,517,15.91,10,Self-Employed,0
20304,58,Female,Graduate,108768,744669,Home,574,17.52,7,Salaried,1
20305,58,Female,Under Graduate,110150,475997,Personal,320,20.23,15,Salaried,0
20306,28,Male,Graduate,115551,99907,Home,613,16.17,15,Self-Employed,1
20307,47,Female,Post Graduate,126350,691255,Car,709,8.71,7,Business,0
20308,47,Male,Graduate,147943,559038,Personal,757,20.08,7,Self-Employed,0
20309,54,Male,Graduate,82926,953781,Personal,599,12.58,3,Salaried,0
20310,41,Female,Under Graduate,24986,1147967,Business,326,27.38,3,Business,1
20311,50,Female,Graduate,98485,740415,Personal,684,21.81,3,Self-Employed,0
20312,53,Female,Graduate,151307,458284,Business,372,24.81,10,Self-Employed,0
20313,48,Female,Graduate,159065,414813,Personal,330,27.09,7,Salaried,0
20314,53,Female,Post Graduate,165908,149613,Personal,690,9.27,10,Self-Employed,0
20315,25,Female,Post Graduate,90760,719237,Home,308,10.97,10,Business,1
20316,39,Male,Graduate,172380,559430,Personal,498,24.16,10,Salaried,0
20317,24,Male,Graduate,85587,339137,Car,775,25.7,3,Self-Employed,0
20318,55,Male,Graduate,177803,370631,Home,680,8.1,10,Business,0
20319,37,Female,Graduate,95108,730010,Business,781,26.9,7,Business,1
20320,64,Male,Under Graduate,28498,1185336,Business,736,17.09,15,Business,0
20321,48,Male,Under Graduate,65066,1137758,Education,443,17.25,15,Self-Employed,0
20322,50,Male,Post Graduate,109529,750385,Personal,707,25.57,5,Business,0
20323,49,Male,Graduate,170065,238547,Personal,629,13.79,10,Salaried,0
20324,26,Male,Under Graduate,32485,272305,Personal,473,19.67,10,Salaried,0
20325,55,Male,Under Graduate,89136,193461,Education,532,14.68,3,Salaried,1
20326,61,Female,Post Graduate,66264,293653,Car,734,10.27,5,Salaried,1
20327,57,Female,Under Graduate,65606,1005833,Personal,800,15.17,3,Self-Employed,0
20328,44,Female,Under Graduate,56346,234954,Home,841,11.46,1,Salaried,0
20329,49,Male,Post Graduate,123865,1185515,Business,589,18.42,7,Business,0
20330,51,Female,Graduate,135192,52899,Car,574,18.6,7,Salaried,0
20331,55,Female,Under Graduate,143016,1072371,Business,711,16.75,5,Business,1
20332,53,Male,Graduate,73166,85516,Education,305,11.48,3,Self-Employed,0
20333,41,Female,Under Graduate,59075,1109798,Car,444,10.37,3,Salaried,0
20334,52,Male,Under Graduate,98675,146127,Education,400,10.09,3,Salaried,1
20335,43,Female,Under Graduate,123446,499441,Car,463,10.24,15,Self-Employed,0
20336,53,Male,Post Graduate,24806,308096,Home,812,13.9,15,Business,0
20337,23,Male,Graduate,49357,1025019,Car,443,8.04,10,Self-Employed,0
20338,38,Female,Graduate,78877,472817,Personal,751,9.25,1,Business,0
20339,45,Male,Under Graduate,130137,274221,Home,346,17.41,10,Self-Employed,0
20340,62,Female,Under Graduate,73155,725145,Business,322,11.65,10,Salaried,0
20341,51,Male,Post Graduate,78051,676693,Education,494,13.27,15,Self-Employed,0
20342,23,Female,Graduate,144503,106907,Business,745,15.07,5,Self-Employed,0
20343,60,Female,Under Graduate,93147,280603,Business,384,8.79,5,Self-Employed,0
20344,44,Male,Under Graduate,147117,396480,Home,643,12.4,7,Salaried,0
20345,52,Female,Graduate,177976,786125,Personal,766,23.53,5,Self-Employed,0
20346,42,Female,Post Graduate,96742,1033761,Car,598,14.82,5,Business,0
20347,43,Female,Under Graduate,117486,831859,Personal,670,11.72,3,Business,0
20348,22,Male,Under Graduate,152779,606720,Personal,471,11.95,10,Salaried,0
20349,47,Male,Under Graduate,42290,143496,Personal,531,27.69,15,Self-Employed,0
20350,62,Female,Graduate,104875,388837,Personal,785,10.97,7,Business,0
20351,22,Female,Post Graduate,39311,937211,Car,837,26.11,10,Self-Employed,0
20352,46,Male,Post Graduate,68175,534863,Education,459,9.61,5,Salaried,0
20353,37,Male,Under Graduate,22720,689814,Education,342,25.49,5,Self-Employed,0
20354,60,Female,Under Graduate,55790,709047,Personal,411,18.14,15,Business,1
20355,53,Male,Under Graduate,101285,608082,Education,757,20.17,15,Self-Employed,0
